"Supplemental Table 1. Geochemical data associated with 2015 and 2016 sampling periods. spCond = specific conductivity, TDS = total dissolved solids, OrP = redox potential, Turbid+NTU = turbidity, Chl = chlorophyll-a, ODO = dissolved oxygen, SRP = soluble reactive phosphorous, TN = total nitrogen, TP = total phosphorous, NPOC = non-particulate organic carbon."																			
																			
Sample	Wetland	Zone	Time	Year	Temp(C?)	spCond (mS/cm)	TDS(g/L)	pH	OrP(mV)	Turbid+NTU	Chl(ug/L)	ODOsat(%)	ODO(mg/L)	Nitrate (mg/L)	Ammonia (mg/L)	SRP (mg/L)	TN (mg/L)	TP (mg/L)	NPOC (mg/L)
CW_A1_M1	CW	A	M1	2015	17.09	0.816	0.53	6.64	-123.5	42.2	46	8.6	0.82	0.007	1.328	0.057	2.416	0.112	13.92
CW_A1_M2	CW	A	M2	2015	15.96	0.921	0.599	7	-116.1	26.2	39.8	6.5	0.64	0.014	1.218	0.014	2.692	0.025	12.63
CW_A1_N1	CW	A	N1	2015	20.94	0.84	0.546	7.01	-194.4	10.9	51.3	9.9	0.88	0.024	1.616	0.093	2.921	0.169	14
CW_A1_N2	CW	A	N2	2015	19.67	0.851	0.553	6.83	-42.3	30.6	36.1	10.2	0.93	0.009	1.105	0.013	2.241	0.027	13.67
CW_A2_M1	CW	A	M1	2015	16.36	0.877	0.57	6.76	-144.2	75	184.8	5.6	0.55	0.00205	1.274	0.024	2.376	0.042	11.96
CW_A2_M2	CW	A	M2	2015	15.25	0.956	0.621	6.96	-146.5	34.2	49.5	5	0.5	0.00205	0.919	0.006	1.937	0.018	12.4
CW_A2_N1	CW	A	N1	2015	20.85	0.867	0.564	7	-179.2	537.7	26.8	11.9	1.06	0.025	1.611	0.033	2.793	0.061	13.27
CW_A2_N2	CW	A	N2	2015	19.7	0.932	0.606	6.99	-129.2	40.4	55.7	9.4	0.86	0.016	1.084	0.021	2.245	0.041	12.3
CW_A3_M1	CW	A	M1	2015	16.19	0.884	0.575	6.87	-114.6	39.9	56	8.3	0.81	0.012	0.73	0.013	1.572	0.024	11.18
CW_A3_M2	CW	A	M2	2015	15.04	0.992	0.645	6.96	-155	39.3	46.5	5.8	0.59	0.00205	1.152	0.02	2.272	0.034	15.12
CW_A3_N1	CW	A	N1	2015	20.67	0.806	0.524	7.08	-161.5	163.7	74.2	17.1	1.53	0.018	1.003	0.013	2.079	0.032	11.25
CW_A3_N2	CW	A	N2	2015	19.51	0.94	0.611	7.16	-69.7	421.6	31.7	24.7	2.26	0.011	0.975	0.016	1.879	0.026	10.13
CW_B1_M1	CW	B	M1	2015	16.44	0.975	0.633	7.01	-119.9	831.9	180.4	11.4	1.12	0.013	2.358	0.035	3.573	0.058	11.59
CW_B1_M2	CW	B	M2	2015	15.31	1.041	0.676	7.11	-86.7	25.5	39.3	8.6	0.85	0.005	0.236	0.013	1.245	0.018	11.31
CW_B1_N1	CW	B	N1	2015	20.58	0.955	0.621	7.24	-105.2	993.6	143.5	12.6	1.13	0.009	4	0.058	5.402	0.084	9.444
CW_B1_N2	CW	B	N2	2015	19.58	1.01	0.656	7.22	-91.7	149.7	53.4	44.7	4.09	0.009	1.602	0.039	2.795	0.065	10.17
CW_B2_M1	CW	B	M1	2015	16.3	1.051	0.683	7.1	-20.5	8.7	291.3	15	1.46	0.00205	1.203	0.028	2.167	0.032	11.61
CW_B2_M2	CW	B	M2	2015	15.41	1.066	0.693	7.14	-95.8	17.3	36.4	8.1	0.81	0.00205	0.937	0.013	1.876	0.018	10.47
CW_B2_N1	CW	B	N1	2015	20.74	1.024	0.666	7.2	-179.5	460.9	51	14.4	1.29	0.012	2.529	0.016	3.869	0.022	11.33
CW_B2_N2	CW	B	N2	2015	19.65	0.971	0.631	7.29	-100.1	26.2	74.5	44.5	4.06	0.011	1.063	0.012	2.067	0.013	10.44
CW_B3_M1	CW	B	M1	2015	16.11	1.053	0.685	7.2	-98.8	8.5	16.9	9.1	0.9	0.00205	0.469	0.016	1.358	0.017	9.737
CW_B3_M2	CW	B	M2	2015	15.07	1.081	0.703	7.24	-57.4	7.2	15.9	10.4	1.05	0.00205	0.435	0.014	1.326	0.013	9.977
CW_B3_N1	CW	B	N1	2015	20.72	1	0.65	7.4	-141.4	22.4	40.8	31	2.77	0.009	0.306	0.015	1.265	0.007	12.65
CW_B3_N2	CW	B	N2	2015	19.53	0.956	0.622	7.72	9.3	20	38	112.9	10.33	0.021	0.888	0.021	1.86	0.015	11.76
MM_A1_M1	MM	A	M1	2015	15.39	0.056	0.036	7.85	180.4	7.4	2.2	97.7	9.77	0.012	0.026	0.012	1.122	0.007	19.53
MM_A1_M2	MM	A	M2	2015	16.7	0.055	0.036	7.32	138.3	11.1	25.6	15	1.45	0.00205	0.027	0.005	1.049	0.0018	24.33
MM_A1_N1	MM	A	N1	2015	19.93	0.04	0.026	7.94	211	45.2	9.4	112	10.2	0.013	0.051	0.009	1.184	0.007	24.09
MM_A1_N2	MM	A	N2	2015	20.38	0.038	0.025	8.42	188.5	0.7	16.8	105.3	9.5	0.012	0.054	0.009	1.419	0.011	25.72
MM_A2_M1	MM	A	M1	2015	15.63	0.061	0.039	8.36	166.6	1.3	0.8	100	9.95	0.02	0.037	0.006	1.02	0.005	24.17
MM_A2_M2	MM	A	M2	2015	16.48	0.055	0.035	7.02	134.6	14.6	44.7	17.2	1.68	0.006	0.025	0.004	1.022	0.0018	19.94
MM_A2_N1	MM	A	N1	2015	19.81	0.037	0.024	8.83	153.9	0.1	19.9	102.3	9.33	0.018	0.054	0.009	1.3	0.005	21.5
MM_A2_N2	MM	A	N2	2015	20.3	0.04	0.026	8.78	174.1	-0.1	3.2	100.4	9.08	0.045	0.026	0.007	1.174	0.0018	25.19
MM_A3_M1	MM	A	M1	2015	15.27	0.051	0.033	7.97	172.3	0.9	0.1	98.5	9.88	0.007	0.028	0.004	0.942	0.0018	24.19
MM_A3_M2	MM	A	M2	2015	16.44	0.055	0.036	7.87	160.4	1.6	11.1	36.9	2.63	0.009	0.024	0.006	1.049	0.004	20.52
MM_A3_N1	MM	A	N1	2015	19.08	0.029	0.019	8.7	174.9	0.2	0.2	100.1	9.27	0.02	0.028	0.006	1.076	0.0018	24.21
MM_A3_N2	MM	A	N2	2015	19.86	0.038	0.025	8.61	181.7	0.9	10	97.8	8.92	0.007	0.038	0.01	1.102	0.006	23.65
MM_B1_M1	MM	B	M1	2015	17.98	0.047	0.031	7.1	141.9	252.5	17.4	6.9	0.65	0.012	0.023	0.00155	0.939	0.0018	23.37
MM_B1_M2	MM	B	M2	2015	18.66	0.03	0.019	6.55	136	1.3	21.1	6.6	0.61	0.007	0.035	0.008	1.009	0.0018	7.38
MM_B1_N1	MM	B	N1	2015	22.55	0.037	0.024	8.34	183.3	0.4	2.6	91.7	7.94	0.028	0.048	0.004	1.172	0.0018	24.38
MM_B1_N2	MM	B	N2	2015	23.49	0.039	0.026	8.32	192.5	7.8	77	100	8.5	0.00205	0.024	0.005	1.082	0.0018	24.82
MM_B2_M1	MM	B	M1	2015	17.76	0.048	0.031	7.61	159.9	3.1	20.9	14.8	1.41	0.006	0.024	0.006	1.072	0.0018	23.39
MM_B2_M2	MM	B	M2	2015	18.51	0.049	0.032	6.87	149.4	2.4	22	7.4	0.69	0.005	0.038	0.00155	0.964	0.0018	18.17
MM_B2_N1	MM	B	N1	2015	22.92	0.04	0.026	8.38	178.1	1.9	0.9	91.6	7.87	0.01	0.024	0.004	1.09	0.0018	22.94
MM_B2_N2	MM	B	N2	2015	23.33	0.04	0.026	8.19	198.5	-0.9	2	96.8	8.26	0.00205	0.024	0.004	0.983	0.0018	21.95
MM_B3_M1	MM	B	M1	2015	17.5	0.05	0.032	7.32	130.2	3	24.7	6	0.58	0.00205	0.033	0.004	1.044	0.0018	23.17
MM_B3_M2	MM	B	M2	2015	18.16	0.041	0.026	6.72	133.1	1.6	117.4	7.4	0.7	0.005	0.035	0.004	0.982	0.0018	20.69
MM_B3_N1	MM	B	N1	2015	21.67	0.042	0.027	8.14	197.2	21.9	46.5	99.4	8.75	0.011	0.037	0.004	1.107	0.0018	24.05
MM_B3_N2	MM	B	N2	2015	23.29	0.041	0.026	8.38	189.4	25.5	44	102	8.7	0.005	0.023	0.00155	0.993	0.0018	23.8
PM_A1_M1	PM	A	M1	2015	16.14	1.27	0.825	6.85	-27.7	20.6	81.8	6.5	0.63	0.026	0.358	0.038	1.277	0.159	14.46
PM_A1_M2	PM	A	M2	2015	16.98	1.411	0.917	6.8	-105.2	21.7	13.7	8	0.77	0.014	0.527	0.052	1.129	0.087	10.58
PM_A1_N1	PM	A	N1	2015	18.94	1.154	0.75	6.93	-83.7	37.7	27.5	14.2	1.31	0.031	0.367	0.038	1.181	0.076	14.38
PM_A1_N2	PM	A	N2	2015	20.13	1.29	0.839	6.96	-80.7	39.3	18	16.7	1.51	0.011	0.264	0.016	1.083	0.032	12.86
PM_A2_M1	PM	A	M1	2015	15.47	1.338	0.87	6.84	-96.1	15.1	77.1	6.8	0.67	0.008	0.267	0.026	1.041	0.12	10.93
PM_A2_M2	PM	A	M2	2015	16.03	1.418	0.922	6.86	-104	16.9	12.8	6.4	0.63	0.009	0.216	0.038	0.757	0.09	9.686
PM_A2_N1	PM	A	N1	2015	18.35	1.098	0.713	6.9	-32.1	170.7	16.8	12.8	1.2	0.035	0.121	0.024	1.124	0.056	12.91
PM_A2_N2	PM	A	N2	2015	19.23	1.338	0.869	6.93	-62.2	22.9	15.5	23.3	2.15	0.012	0.188	0.018	0.804	0.051	12.98
PM_A3_M1	PM	A	M1	2015	15.11	1.264	0.821	6.86	-53.1	17.6	16.3	7.4	0.74	0.009	0.14	0.029	0.947	0.103	11.92
PM_A3_M2	PM	A	M2	2015	15.79	1.429	0.929	6.85	-96.8	26.2	19.1	5.3	0.52	0.005	0.446	0.012	1.047	0.016	9.687
PM_A3_N1	PM	A	N1	2015	18.23	1.154	0.75	6.88	-32.5	40.4	19.9	13.6	1.28	0.016	0.12	0.027	0.853	0.083	14.04
PM_A3_N2	PM	A	N2	2015	19.19	1.31	0.852	6.91	-50.9	25.1	18	19.3	1.78	0.016	0.132	0.016	0.737	0.038	12.89
PM_B1_M1	PM	B	M1	2015	15.04	1.663	1.081	7.24	-3.8	11.1	4.3	5.9	0.59	0.005	0.046	0.009	0.334	0.019	4.144
PM_B1_M2	PM	B	M2	2015	15.77	1.874	1.218	7.17	-128.7	92.7	110.2	3.7	0.37	0.00205	0.054	0.011	0.264	0.011	3.513
PM_B1_N2	PM	B	N2	2015	18.62	1.856	1.206	7.24	19	146.8	192.4	29.1	2.71	0.01	0.041	0.007	0.306	0.011	3.862
PM_B2_M1	PM	B	M1	2015	15.04	1.86	1.209	7.26	-90.4	8.8	522.1	8.1	0.81	0.00205	0.045	0.007	0.322	0.008	5.322
PM_B2_M2	PM	B	M2	2015	15.57	1.818	1.182	7.2	-128.1	1232.2	520.2	10.5	1.04	0.00205	0.036	0.009	0.236	0.013	3.961
PM_B2_N1	PM	B	N1	2015	17.38	1.573	1.022	7.34	-24.7	8.5	10.6	22	2.1	0.017	0.058	0.011	0.378	0.02	4.743
PM_B2_N2	PM	B	N2	2015	18.67	1.837	1.194	7.35	-20.9	10.2	18.7	43.9	4.08	0.00205	0.031	0.005	0.258	0.005	4.095
PM_B3_M1	PM	B	M1	2015	15.38	1.905	1.239	7.3	-76.4	5.9	3.6	7.7	0.76	0.00205	0.031	0.008	0.3	0.013	3.857
PM_B3_M2	PM	B	M2	2015	15.57	1.818	1.182	7.27	-127.6	9	522.1	6.4	0.63	0.00205	0.017	0.008	0.201	0.004	3.184
PM_B3_N1	PM	B	N1	2015	17.21	1.782	1.158	7.49	32.7	11	11.1	43.7	4.19	0.014	0.039	0.01	0.346	0.009	4.466
PM_B3_N2	PM	B	N2	2015	18.37	1.89	1.228	7.44	-3.4	11.1	15.3	55.2	5.16	0.007	0.028	0.007	0.228	0.0018	4.018
SF_A1_M1	SF	A	M1	2015	19.34	0.029	0.019	7.33	167.8	7.9	29.2	8.9	0.82	0.012	0.031	0.005	0.996	0.0018	30.62
SF_A1_M2	SF	A	M2	2015	21.91	0.029	0.019	6.77	177.2	6.3	111.8	11.8	1.03	0.009	0.027	0.00155	1.011	0.0018	26.33
SF_A1_N1	SF	A	N1	2015	21.84	0.025	0.016	7.06	175.6	7	34.6	12.3	1.08	0.011	0.027	0.007	1.016	0.0018	23.63
SF_A1_N2	SF	A	N2	2015	22.66	0.026	0.017	6.27	232.7	2.2	16.3	24.8	2.14	0.01	0.044	0.005	1.073	0.0018	31.92
SF_A2_M1	SF	A	M1	2015	19.63	0.029	0.019	6.98	181.1	9.7	105.5	22.5	2.06	0.014	0.036	0.005	1.06	0.0018	29.29
SF_A2_M2	SF	A	M2	2015	21.97	0.031	0.02	6.39	206.2	4	94.3	14	1.23	0.01	0.029	0.007	1.099	0.0018	26.7
SF_A2_N1	SF	A	N1	2015	21.72	0.022	0.014	6.22	212.8	10.7	130.9	96.6	8.5	0.012	0.034	0.006	1.089	0.0018	24.44
SF_A2_N2	SF	A	N2	2015	25.93	0.023	0.015	6.4	237.8	8.6	102.2	118.1	9.6	0.009	0.036	0.006	0.994	0.0018	28.69
