Supplemental Table 3. Pairwise perMANOVA of individual wetlands and wetland zones.																																		
CW	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			MM	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			PM	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			SF	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	
Diel	1	0.01998	0.019985	0.7556	0.02831	0.731			Diel	1	0.02602	0.02602	1.764	0.05885	0.041	*		Diel	1	0.03481	0.034809	1.4094	0.05525	0.083	.		Diel	1	0.02493	0.024934	1.23489	0.05186	0.125	
Point	1	0.14339	0.143391	5.4214	0.20316	0.001	***		Point	1	0.0954	0.095398	6.4674	0.21578	0.001	***		Point	1	0.11604	0.116041	4.6986	0.18417	0.001	***		Point	1	0.04119	0.04119	2.03997	0.08567	0.005	**
Time	2	0.0468	0.023402	0.8848	0.06631	0.569			Time	2	0.03807	0.019037	1.2906	0.08612	0.11			Time	2	0.04147	0.020734	0.8395	0.06581	0.765			Time	2	0.04325	0.021626	1.07107	0.08996	0.286	
Diel:Point	1	0.02366	0.023664	0.8947	0.03353	0.539			Diel:Point	1	0.01454	0.014537	0.9856	0.03288	0.392			Diel:Point	1	0.02486	0.024859	1.0066	0.03945	0.354			Diel:Point	1	0.01597	0.015968	0.79083	0.03321	0.867	
Point:Time	2	0.04878	0.024389	0.9221	0.06911	0.517			Point:Time	2	0.03206	0.01603	1.0867	0.07252	0.274			Point:Time	2	0.04244	0.021222	0.8593	0.06737	0.706			Point:Time	2	0.0324	0.0162	0.8023	0.06739	0.926	
Residuals	16	0.42318	0.026449	0.59958					Residuals	16	0.23601	0.014751	0.53384					Residuals	15	0.37045	0.024697	0.58795					Residuals	16	0.32306	0.020192	0.67192			
Total	23	0.7058	1						Total	23	0.4421	1						Total	22	0.63007	1						Total	23	0.48081	1				
																																		
CW_A	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			MM_A	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			PM_A	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			SF_A	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	
Diel	1	0.021115	0.021115	0.81851	0.07725	0.774			Diel	1	0.016504	0.016504	1.1202	0.09455	0.208			Diel	1	0.037329	0.037329	1.39141	0.12778	0.145			Diel	1	0.021248	0.021248	1.17238	0.10536	0.149	
Time	2	0.045837	0.022919	0.88845	0.1677	0.723			Time	2	0.040181	0.02009	1.3637	0.2302	0.027	*		Time	2	0.040172	0.020086	0.74869	0.13752	0.863			Time	2	0.03544	0.01772	0.97773	0.17573	0.472	
Residuals	8	0.20637	0.025796	0.75504					Residuals	8	0.117862	0.014733	0.67525					Residuals	8	0.214627	0.026828	0.7347					Residuals	8	0.14499	0.018124	0.71892			
Total	11	0.273322	1						Total	11	0.174547	1						Total	11	0.292128	1						Total	11	0.201679	1				
																																		
CW_B	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			MM_B	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			PM_B	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)			SF_B	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	
Diel	1	0.022534	0.022534	0.83146	0.07795	0.698			Diel	1	0.024053	0.024053	1.6287	0.13972	0.007	**		Diel	1	0.023051	0.023051	1.03548	0.10346	0.324			Diel	1	0.019654	0.019654	0.88297	0.0826	0.568	
Time	2	0.049745	0.024872	0.91775	0.17207	0.567			Time	2	0.029954	0.014977	1.0141	0.17399	0.392			Time	2	0.043915	0.021957	0.98636	0.19711	0.513			Time	2	0.040212	0.020106	0.90326	0.169	0.637	
Residuals	8	0.216813	0.027102	0.74998					Residuals	8	0.118148	0.014768	0.68629					Residuals	7	0.155827	0.022261	0.69943					Residuals	8	0.178074	0.022259	0.7484			
Total	11	0.289092	1						Total	11	0.172154	1						Total	10	0.222792	1						Total	11	0.237941	1				
